epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.431,1.49627,2.37434,1.76842,0.01625,0.96774,0.63023,0.34918,1.2326,2.53051,1.51396,0.00026,0.00026,0.00026
2,395.329,1.2281,1.45088,1.48463,0.86049,0.74612,0.91934,0.58666,1.12446,1.81048,1.4351,0.000529308,0.000529308,0.000529308
3,581.972,1.14226,1.26014,1.39732,0.6281,0.46774,0.5629,0.33562,1.26645,2.00915,1.59907,0.000787528,0.000787528,0.000787528
4,770.075,1.11094,1.18048,1.36082,0.80744,0.56452,0.65975,0.35368,1.46725,2.08416,1.91253,0.00103466,0.00103466,0.00103466
5,953.527,1.11225,1.13887,1.36527,0.58955,0.55645,0.62793,0.3107,1.49434,1.95726,1.91389,0.0012707,0.0012707,0.0012707
6,1138.9,1.12746,1.119,1.37195,0.65525,0.58065,0.59869,0.25378,1.7674,1.97912,2.31603,0.00149566,0.00149566,0.00149566
7,1325.56,1.08492,1.01527,1.32574,0.63045,0.72917,0.71639,0.40214,1.37001,1.60645,1.5566,0.00170953,0.00170953,0.00170953
8,1507.32,1.10318,1.00557,1.32931,0.9278,0.83871,0.9447,0.67262,0.98783,1.24696,1.39223,0.0017228,0.0017228,0.0017228
9,1696.06,1.10829,1.00658,1.34983,0.884,0.92184,0.96249,0.63967,1.13522,1.18449,1.59664,0.0016832,0.0016832,0.0016832
10,1881.57,1.02945,0.90204,1.31116,0.91122,0.83065,0.92362,0.65868,0.93182,1.10521,1.26084,0.0016436,0.0016436,0.0016436
11,2063.93,1.0461,0.90721,1.32311,0.9281,0.95161,0.97626,0.68316,1.07013,0.91211,1.3227,0.001604,0.001604,0.001604
12,2247.46,1.02062,0.90937,1.29133,0.95496,0.85493,0.95274,0.70445,0.92767,0.91135,1.23324,0.0015644,0.0015644,0.0015644
13,2432.75,1.05268,0.86543,1.31391,0.92424,0.7871,0.92815,0.69144,0.91211,0.91655,1.20485,0.0015248,0.0015248,0.0015248
14,2614.6,0.98355,0.81637,1.25369,0.8907,0.98581,0.98404,0.78294,0.8379,0.72772,1.15045,0.0014852,0.0014852,0.0014852
15,2802.84,0.97989,0.82639,1.26472,0.92,0.92741,0.97561,0.69836,1.04175,0.87185,1.29842,0.0014456,0.0014456,0.0014456
16,2990.36,1.00444,0.79683,1.25611,0.8704,0.91129,0.94756,0.62575,0.99072,1.19565,1.24233,0.001406,0.001406,0.001406
17,3176.02,0.96128,0.74647,1.24992,0.92817,0.93789,0.9829,0.74727,0.93204,0.84282,1.20237,0.0013664,0.0013664,0.0013664
18,3359.62,0.92215,0.73323,1.23153,0.94452,0.961,0.9691,0.59161,1.24533,0.89861,1.36372,0.0013268,0.0013268,0.0013268
19,3542.02,0.96252,0.72714,1.25148,0.9204,0.95968,0.96405,0.66662,1.03846,0.88323,1.24488,0.0012872,0.0012872,0.0012872
20,3727.91,0.93778,0.71777,1.24275,0.86573,0.97581,0.9737,0.76808,0.79134,0.71535,1.05719,0.0012476,0.0012476,0.0012476
